country,year,military_expenditures_usd_2022,military_expenditures_current_usd,share_GDP,share_govt
Croatia,1993,2609598970.1440883,577978268.6279844,0.1072675715450447,0.2502414086728763
Croatia,1994,2932687181.6139293,1472678523.612818,0.111481772894242,0.2061168087791327
Croatia,1995,3119139791.707427,1947665978.2438006,0.0917569132270807,0.1827061943297727
Croatia,1996,2923339895.328719,1809859601.8661735,0.0816321470358059,0.1569316870044633
Croatia,1997,2949208087.6001225,1682974284.5901792,0.0752158642382081,0.1457804680480372
Croatia,1998,2273784400.551156,1341113073.5546951,0.0559525129683707,0.098617509474145
Croatia,1999,1773225627.4745467,1041757821.4923669,0.0441637693322143,0.0750323832653403
Croatia,2000,1256536394.0006351,667820477.128836,0.0302098660264849,0.055438037925479
Croatia,2001,1164095002.0837529,623607529.3667859,0.0270460855366515,0.0539679121925715
Croatia,2002,1259346739.9540737,721391026.7159096,0.0270984361143564,0.0540979628369673
Croatia,2003,1019177578.7823576,712496403.3255708,0.0202770104358502,0.0414644360081555
Croatia,2004,925964883.157164,726810082.3241949,0.0174186592099338,0.0356072390018264
Croatia,2005,966157480.7536216,784727318.4548906,0.0174563699248782,0.0382688417318179
Croatia,2006,976557572.54457,825641092.0829061,0.0167013535951608,0.0371585572371307
Croatia,2007,1004981465.2400109,953886579.5821769,0.0161680932558254,0.0352099516385148
Croatia,2008,1153888190.2009158,1243402599.965793,0.0183172154646763,0.0402007989548495
Croatia,2009,1051389682.2247691,1100010547.8921545,0.0178981505092474,0.0355832873242408
Croatia,2010,974253339.992386,981799328.9997144,0.0167080387331282,0.0344231564599298
Croatia,2011,1008449657.7026346,1090923901.9325411,0.0174118286536987,0.0359718355094739
Croatia,2012,921751250.9884716,953070002.0107224,0.0166162233029737,0.0352367423944199
Croatia,2013,880864053.111018,962051495.6138462,0.0161759543360309,0.033727958962204
Croatia,2014,988460795.21783,1076424945.7247915,0.0181633909411765,0.0372188874644987
Croatia,2015,983976258.7063658,891540479.7242875,0.0175380672758477,0.0370923291915004
Croatia,2016,935859235.2159648,836045683.3801545,0.0159352332128186,0.0348430251523118
Croatia,2017,994293639.2599243,911363521.4684042,0.0163676679795349,0.0371439357736195
Croatia,2018,971275052.666834,950582488.1790668,0.0154696751458149,0.0342313937799103
Croatia,2019,1053738930.2172008,985762551.5255588,0.0160350358639621,0.0362816511876804
Croatia,2020,1028796880.3732206,981389328.8335564,0.0170256133740463,0.031522456639171
