Country,Year,military_expenditures_usd,military_expenditures_pct_gdp,military_expenditures_pct_govt,Capital City,Latitude,Longitude
Austria,1995,2557.834494186181,0.01073232052069508,0.019012255498741984,Wien (Vienna),48.2064,16.3707
Belgium,1995,4449.014834610717,0.015657521514464173,0.029340685124354764,Bruxelles-Brussel,50.8467,4.3499
Cyprus,1995,298.83338551059114,0.030410342149260805,0.09892933618843684,Lefkosia (Nicosia),35.1595,33.3669
Denmark,1995,3117.966146470155,0.016853146650741016,0.028796001397928168,København (Copenhagen),55.6759,12.5655
Finland,1995,1908.986807294454,0.014225414992491579,0.023720898754737412,Helsinki,60.1692,24.9402
France,1995,40124.024138369554,0.024924961893683584,0.045726067917618136,Paris,48.8534,2.3488
Germany,1995,38742.69910254969,0.014950220142765305,0.027185706511557755,Berlin,52.5244,13.4105
Greece,1995,4179.913246972543,0.03173190196448451,0.06638230278679717,Athínai (Athens),37.9534,23.749
Iceland,1995,0.0,,,Reykjavík,64.1355,-21.8954
Ireland,1995,702.0397031230665,0.010143593882610158,0.025162925416364952,Dublin,53.3331,-6.2489
Italy,1995,17185.853003896475,0.01467843143346375,0.02834242853138189,Roma (Rome),41.8947,12.4811
Luxembourg,1995,128.52176426355615,0.0059532687818364596,0.01489651841838675,Luxembourg,49.6117,6.13
Malta,1995,31.14485995513214,0.008423582479185227,,Valletta,35.8997,14.5147
Netherlands,1995,8011.539559498451,0.017942405045782733,0.0333487582909147,Amsterdam,52.374,4.8897
Norway,1995,3508.040838747561,0.02307491039575382,0.04676816885699555,Oslo,59.9127,10.7461
Portugal,1995,2016.4997201793005,0.01706989856159261,0.04008064400306067,Lisboa (Lisbon),38.7169,-9.1399
Spain,1995,11439.906271183727,0.019170223946512226,0.04220688364948626,Madrid,40.4165,-3.7026
Sweden,1995,4653.429165959884,0.01753405038368638,0.02807853785488514,Stockholm,59.3326,18.0649
Switzerland,1995,4645.360981673954,0.013558108825235409,0.0405585008195874,Bern,46.9481,7.4474
United Kingdom,1995,38294.283079834844,0.02854199490535873,0.0757240943876998,London,51.5085,-0.1257
Albania,1996,45.7133561086709,0.013790296273415647,,Tiranë (Tirana),41.3275,19.8189
Bosnia and Herzegovina,1996,,,,Sarajevo,43.8486,18.3564
Bulgaria,1996,213.6163562671104,0.02402934109017326,,Sofia,42.6975,23.3242
Croatia,1996,1809.8596018661738,0.08163214703580592,0.15693168700446333,Zagreb,45.8144,15.978
Estonia,1996,41.43660770918468,0.008735960738378309,0.02241912798874824,Tallinn,59.437,24.7535
Hungary,1996,585.2719018388832,0.012590610397978286,0.024555019294407367,Budapest,47.498,19.0399
Kosovo,1996,,,,,,
Latvia,1996,38.15493455599268,0.006391446833315983,,Riga,56.946,24.1059
Lithuania,1996,42.26,0.005039800092309493,0.01571160716728869,Vilnius,54.6892,25.2798
North Macedonia,1996,130.63672585296553,0.028136767423193574,,,,
Montenegro,1996,,,,Podgorica,42.4411,19.2636
